NAME,TEAM,SALARY,GP,MPG,FG%,3P%,FT%,RPG,APG,BLKPG,STLPG,PPG,POSITION
Kobe Bryant,Los Angeles Lakers,23500000,1280,36.5,0.451,0.334,0.837,5.3,4.8,0.5,1.5,25.4,SG
Joe Johnson,Brooklyn Nets,23180790,1048,36.3,0.443,0.371,0.8,4.1,4.2,0.2,0.9,17.3,SF
Carmelo Anthony,New York Knicks,22458401,830,36.5,0.455,0.345,0.811,6.6,3.1,0.5,1.1,25.2,SF
Dwight Howard,Houston Rockets,21436271,800,35.8,0.579,0.104,0.573,12.8,1.5,2.1,1,18.2,C
Chris Bosh,Miami Heat,20644400,840,35.9,0.495,0.326,0.799,8.6,2,1.1,0.8,19.3,C
LeBron James,Cleveland Cavaliers,20644400,903,39.3,0.496,0.342,0.746,7.1,6.9,0.8,1.7,27.4,SF
Chris Paul,Los Angeles Clippers,20068563,688,36.2,0.473,0.361,0.859,4.4,9.9,0.1,2.4,18.7,PG
Deron Williams,Brooklyn Nets,19754465,702,35.1,0.448,0.357,0.817,3.1,8.5,0.3,1.1,17.1,PG
Rudy Gay,Sacramento Kings,19317326,648,35.9,0.451,0.344,0.793,5.8,2.3,0.8,1.3,18.5,SF
Kevin Durant,Oklahoma City Thunder,18995624,569,38,0.481,0.379,0.881,6.9,3.5,1,1.2,27.3,SF
Derrick Rose,Chicago Bulls,18862876,335,35.9,0.453,0.306,0.815,3.7,6.5,0.4,0.8,20.5,PG
Blake Griffin,Los Angeles Clippers,17674613,364,35.6,0.524,0.256,0.653,9.8,3.9,0.6,1,21.5,PF
Zach Randolph,Memphis Grizzlies,16500000,904,32,0.473,0.263,0.762,9.5,1.8,0.3,0.8,17.1,PF
LaMarcus Aldridge,Portland Trail Blazers,16006000,638,35.5,0.485,0.276,0.796,8.4,2,1,0.8,19.3,PF
Marc Gasol,Memphis Grizzlies,15829688,505,33.7,0.509,0.164,0.759,7.9,3,1.6,0.9,14,C
Kevin Love,Cleveland Cavaliers,15719063,431,33,0.448,0.361,0.814,11.9,2.4,0.5,0.7,18.8,PF
Russell Westbrook,Oklahoma City Thunder,15719062,495,33.9,0.432,0.304,0.82,5.2,7.1,0.3,1.7,20.9,PG
Brook Lopez,Brooklyn Nets,15719062,400,32.4,0.509,0.059,0.791,7.3,1.3,1.7,0.5,17.7,C
David Lee,Golden State Warriors,15012000,686,31.7,0.533,0.036,0.776,9.5,2.3,0.4,0.8,14.8,PF
Dwyane Wade,Miami Heat,1.50E+07,770,36.3,0.491,0.288,0.765,4.9,5.9,0.9,1.7,24.1,SG
Roy Hibbert,Indiana Pacers,14898938,520,26,0.465,0.286,0.748,6.8,1.5,1.9,0.4,11.1,C
Eric Gordon,New Orleans Pelicans,14898938,360,34.1,0.438,0.381,0.81,2.6,3.4,0.3,1.1,16.9,SG
Tyson Chandler,Dallas Mavericks,14846888,910,28.8,0.59,0,0.645,9.3,0.8,1.3,0.6,8.8,C
John Wall,Washington Wizards,14746000,336,35.9,0.432,0.306,0.787,4.4,8.6,0.6,1.6,17.6,PG
